"Tipo","SeqMain","SeqSub","Sql","Sessao"
"PROPRIED","9400","1","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9403
AND GPAR.CAMPO2 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9400","32","SELECT 'Própria' from dual
union
SELECT 'Arrendador' from dual
union
SELECT 'Arrendatário' from dual",""
"PROPRIED","9402","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9401
ORDER BY 1",""
"PROPRIED","9402","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9401
AND GPAR.CAMPO1 = :lbsReferencia
AND GPAR.SIMNAO1 = 1
ORDER BY 1",""
"PROPRIED","9402","3","SELECT DISTINCT GPAR.CAMPO2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9401
ORDER BY 1",""
"PROPRIED","9403","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9405
ORDER BY 1",""
"PROPRIED","9403","1","SELECT DISTINCT GPAR.LISTA
FROM IV_GLOBALPARLISTA GPAR
WHERE GPAR.SEQGLBPAR = 9405
AND GPAR.CAMPO = 'C3'
ORDER BY 1",""
"PROPRIED","9403","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9405
AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9403","3","SELECT DISTINCT GPAR.LISTA
FROM IV_GLOBALPARLISTA GPAR
WHERE GPAR.SEQGLBPAR = 9405
AND GPAR.CAMPO = 'C3'
ORDER BY 1",""
"PROPRIED","9403","4","SELECT DISTINCT GPAR.LISTA
FROM IV_GLOBALPARLISTA GPAR
WHERE GPAR.SEQGLBPAR = 9405
AND GPAR.CAMPO = 'C2'
ORDER BY 1",""
"PROPRIED","9403","6","SELECT LITERAL1 AS ANO FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 30
ORDER BY LITERAL1",""
"PROPRIED","9404","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9412
ORDER BY 1",""
"PROPRIED","9404","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9412
AND GPAR.CAMPO1 = :lbsReferencia
AND GPAR.SIMNAO1 = 1
ORDER BY 1",""
"PROPRIED","9404","6","SELECT GLIST.LISTA
FROM IV_GLOBALPARLISTA GLIST
WHERE GLIST.SEQGLBPAR = 9414
ORDER BY 1",""
"PROPRIED","9405","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9406
ORDER BY 1",""
"PROPRIED","9405","1","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9406
AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9405","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9406
 AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9405","6","SELECT LITERAL1 AS ANO FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 30
ORDER BY LITERAL1;",""
"PROPRIED","9406","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"PROPRIED","9406","1","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9406","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
AND GPAR.CAMPO1 = :lbsReferencia
AND GPAR.SIMNAO1 = 1
ORDER BY 1",""
"PROPRIED","9407","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9408
ORDER BY 1",""
"PROPRIED","9407","1","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9408
AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9407","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9408
 AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9408","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9409
ORDER BY 1",""
"PROPRIED","9408","1","SELECT DISTINCT GPAR.LISTA
FROM IV_GLOBALPARLISTA GPAR
WHERE GPAR.SEQGLBPAR = 9409
AND GPAR.CAMPO = 'C2'
ORDER BY 1",""
"PROPRIED","9408","6","SELECT GLIST.LISTA
FROM IV_GLOBALPARLISTA GLIST
WHERE GLIST.SEQGLBPAR = 9414
ORDER BY 1",""
"PROPRIED","9409","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9410
ORDER BY 1",""
"PROPRIED","9409","1","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9410
AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9409","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9410
AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9410","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9411
ORDER BY 1",""
"PROPRIED","9410","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9411
 AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9410","6","SELECT GLIST.LISTA
FROM IV_GLOBALPARLISTA GLIST
WHERE GLIST.SEQGLBPAR = 9414
ORDER BY 1",""
"PROPRIED","9411","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9407
ORDER BY 1",""
"PROPRIED","9411","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9407
 AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9411","6","SELECT GLIST.LISTA
FROM IV_GLOBALPARLISTA GLIST
WHERE GLIST.SEQGLBPAR = 9414
ORDER BY 1",""
"PROPRIED","9411","31","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9407",""
"PROPRIED","9412","0","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"PROPRIED","9412","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9416
 AND GPAR.CAMPO1 = :lbsReferencia
ORDER BY 1",""
"PROPRIED","9500","0","SELECT DISTINCT GPAR.CAMPO2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9403
ORDER BY 1",""
"PROPRIED","9500","1","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9403
AND GPAR.CAMPO2 = :lbsReferencia
ORDER BY 1",""
"QUESTAO","5","1","SELECT LITERAL1
FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 1
ORDER BY LITERAL1",""
"QUESTAO","6","1","SELECT DISTINCT CPR.LITERAL1 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:5]) 
AND CPR.CAMPO1 = [Q:6] ORDER BY 1

",""
"QUESTAO","6","5","SELECT CTR.PARAMETRO AS TIPO
FROM IV_GLOBALPARCTRL CTR
WHERE CTR.SEQGLBPAR IN (9401, 9405, 9407, 9408, 9409, 9411,9406,9416,9412)",""
"QUESTAO","6","6","SELECT DISTINCT CPR.CAMPO1 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:5]) 
ORDER BY 1",""
"QUESTAO","10","1","SELECT DISTINCT CPR.LITERAL1 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:19]) 
AND CPR.CAMPO1 = [Q:23] ORDER BY 1",""
"QUESTAO","10","10","SELECT CTR.PARAMETRO AS TIPO
FROM IV_GLOBALPARCTRL CTR
WHERE CTR.SEQGLBPAR IN (9404)",""
"QUESTAO","10","19","SELECT DISTINCT CTR.LITERAL2
FROM IV_GLOBALPAR CTR
WHERE CTR.SEQGLBPAR IN (9404)
 AND ISNULL(CTR.LITERAL2, '@') <> '@'
ORDER BY 1",""
"QUESTAO","10","23","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","10","28","SELECT DISTINCT LITERAL1 FROM IV_GLOBALPAR WHERE SEQGLBPAR = 9415 ORDER BY 1
",""
"QUESTAO","11","1","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","11","21","SELECT DISTINCT CPR.CAMPO1 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:19]) 
ORDER BY 1",""
"QUESTAO","13","1","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","13","12","SELECT DISTINCT GPAR.Literal2
from IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","16","1","SELECT DISTINCT 
CASE [Q:19] WHEN 'Plataforma Adicional' THEN CAMPO2 ELSE CPR.LITERAL1 END AS LISTA 
FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = ( SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:19] ) 
AND CPR.CAMPO1 = [Q:23] 

ORDER BY 1",""
"QUESTAO","16","19","SELECT CTR.PARAMETRO AS TIPO
FROM IV_GLOBALPARCTRL CTR
WHERE CTR.SEQGLBPAR IN (9401, 9405, 9407, 9408, 9409, 9411, 9406, 9404, 9416, 9412)",""
"QUESTAO","16","23","SELECT DISTINCT CPR.CAMPO1 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:19]) 
ORDER BY 1",""
"QUESTAO","16","28","SELECT DISTINCT LITERAL1 FROM IV_GLOBALPAR WHERE SEQGLBPAR = 9415 ORDER BY 1",""
"QUESTAO","16","36","SELECT DISTINCT CPR.LITERAL2 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:19])
AND CPR.CAMPO1 = [Q:23] ORDER BY 1",""
"QUESTAO","17","2","SELECT CTR.PARAMETRO AS TIPO
FROM IV_GLOBALPARCTRL CTR
WHERE CTR.SEQGLBPAR IN (9401, 9405, 9407, 9411, 9406, 9416, 9412,2,3)",""
"QUESTAO","17","3","SELECT DISTINCT CPR.CAMPO1 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:2]) 
ORDER BY 1",""
"QUESTAO","17","4","SELECT DISTINCT 
CPR.LITERAL1 AS LISTA 
FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = ( SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:2] ) 
AND CPR.CAMPO1 = [Q:3] 
AND CPR.SIMNAO1 = 1
ORDER BY 1",""
"QUESTAO","17","28","SELECT CTR.PARAMETRO AS TIPO
FROM IV_GLOBALPARCTRL CTR
WHERE CTR.SEQGLBPAR IN (9401, 9405, 9407, 9408, 9409, 9411, 9406, 9404, 9416, 9412)",""
"QUESTAO","17","29","SELECT DISTINCT LITERAL1 FROM IV_GLOBALPAR WHERE SEQGLBPAR = 9415 ORDER BY 1",""
"QUESTAO","18","2","SELECT CTR.PARAMETRO AS TIPO
FROM IV_GLOBALPARCTRL CTR
WHERE CTR.SEQGLBPAR IN (9401, 9405, 9407, 9408, 9409, 9411, 9406, 9404, 9416, 9412)
order by ctr.parametro",""
"QUESTAO","18","3","SELECT DISTINCT CPR.CAMPO1 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:2]) 
ORDER BY 1",""
"QUESTAO","18","4","SELECT DISTINCT 
CASE [Q:2] WHEN 'Plataforma Adicional' THEN CAMPO2 ELSE CPR.LITERAL1 END AS LISTA 
FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = ( SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:2] ) 
AND CPR.CAMPO1 = [Q:3] 

ORDER BY 1",""
"QUESTAO","20","1","SELECT DISTINCT CAMPO1 FROM IV_GLOBALPAR WHERE SEQGLBPAR = 9401 ORDER BY 1",""
"QUESTAO","20","3","SELECT DISTINCT CPR.LITERAL1 FROM IV_GLOBALPAR CPR WHERE CPR.SEQGLBPAR = 9401 AND CPR.CAMPO1 = [Q:01] 

UNION 

SELECT ' ' FROM DUAL ORDER BY 1",""
"QUESTAO","21","1","SELECT DISTINCT CPR.LITERAL1 FROM IV_GLOBALPAR CPR WHERE CPR.SEQGLBPAR = 9401 AND CPR.CAMPO1 = 'John Deere' ORDER BY 1",""
"QUESTAO","21","3","SELECT DISTINCT CIDADE FROM GE_CIDADE ORDER BY 1",""
"QUESTAO","21","8","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","21","9","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9400
AND GPAR.SIMNAO9 = 1
ORDER BY 1",""
"QUESTAO","21","10","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","21","12","SELECT DISTINCT GPAR.CAMPO2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9403
ORDER BY 1",""
"QUESTAO","21","13","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9403
AND GPAR.CAMPO2 = [Q:12]
ORDER BY 1",""
"QUESTAO","21","41","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","23","1","SELECT DISTINCT CPR.CAMPO1 FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR = (SELECT SEQGLBPAR FROM IV_GLOBALPARCTRL WHERE PARAMETRO = [Q:10]) 
ORDER BY 1",""
"QUESTAO","23","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9413
ORDER BY 1",""
"QUESTAO","23","3","SELECT DISTINCT CPR.LITERAL1 FROM IV_GLOBALPAR CPR WHERE CPR.SEQGLBPAR IN ( 9401, 9407, 9405, 9406, 9411 ) AND ISNULL(CPR.LITERAL1, '@') <> '@' AND CPR.CAMPO1 = [Q:01] 

UNION 

SELECT ' ' FROM DUAL ORDER BY 1",""
"QUESTAO","23","8","SELECT DISTINCT CPR.LITERAL1 FROM IV_GLOBALPAR CPR WHERE CPR.SEQGLBPAR IN ( 9401, 9407, 9405, 9406, 9411 ) AND CPR.CAMPO1 = 'John Deere' AND ISNULL(CPR.LITERAL1, '@') <> '@' ORDER BY 1",""
"QUESTAO","23","10","SELECT CTR.PARAMETRO AS TIPO
FROM IV_GLOBALPARCTRL CTR
WHERE CTR.SEQGLBPAR IN (9401, 9405, 9407, 9408, 9409, 9411,9406, 9404,9410)",""
"QUESTAO","23","13","SELECT DISTINCT GPAR.Literal2
from IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","25","2","SELECT DISTINCT CTR.LITERAL2
FROM IV_GLOBALPAR CTR
WHERE CTR.SEQGLBPAR IN (9404,9411,9400)
 AND ISNULL(CTR.LITERAL2, '@') <> '@'
ORDER BY 1",""
"QUESTAO","25","3","SELECT DISTINCT CAMPO1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR in (9400,9404,9411)
 AND ISNULL(GP.CAMPO1, '@') <> '@'
 AND LITERAL2 = [Q:2]
ORDER BY 1",""
"QUESTAO","25","4","SELECT DISTINCT CPR.LITERAL1
FROM IV_GLOBALPAR CPR
WHERE CPR.SEQGLBPAR in (9400,9404, 9411)
 AND CPR.LITERAL2 = [Q:2]
 AND CPR.CAMPO1 = [Q:3]
ORDER BY 1",""
"QUESTAO","26","1","SELECT DISTINCT CPR.LITERAL1 FROM IV_GLOBALPAR CPR WHERE CPR.SEQGLBPAR = 9401 AND CPR.CAMPO1 = 'John Deere' ORDER BY 1",""
"QUESTAO","26","3","SELECT DISTINCT CIDADE FROM GE_CIDADE ORDER BY 1",""
"QUESTAO","26","8","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","26","9","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9400
AND GPAR.SIMNAO9 = 1
ORDER BY 1",""
"QUESTAO","26","10","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","26","12","SELECT DISTINCT GPAR.CAMPO2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9403
ORDER BY 1",""
"QUESTAO","26","13","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9403
AND GPAR.CAMPO2 = [Q:12]
ORDER BY 1",""
"QUESTAO","26","41","SELECT DISTINCT GPAR.LITERAL2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9404
ORDER BY 1",""
"QUESTAO","27","8","SELECT LITERAL1
 FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 4
ORDER BY LITERAL1",""
"QUESTAO","27","9","SELECT CEILING(CAST(LITERAL2 AS DECIMAL(10,2)) / 100 * [:Q4] )
 FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 4
AND LITERAL1 = [:Q8]",""
"QUESTAO","27","10","SELECT LITERAL2 + ' %'
 FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 4
AND LITERAL1 = [:Q8]",""
