"SeqFormulario","Questao","Descricao","NroReferencia","DescReduzida","Nomecoluna","Grupo","TipoDado","NumMinimo","NumMaximo","Peso","ProximaQuestao","Script","Tamanho","Prefixoresposta","Permitepeso","EmUso","ExigeResposta","QTDEDECIMAL"
"7","11","Plataforma de Corte para Milho - Quantidade de Linhas","012","Plataf Corte Milho","PLATAF_CORTE_MILHO","","N","","","1,00","13","Determina a quantidade de linhas para a Plataforma de Corte para Milho","8","","","1","","0"
"7","12","Plataforma de Corte para Grãos","011","Plataf Corte Grãos Estado","PLATAF_CORTE_GRAOS_E","","M","","","1,00","11","Determina o estado geral da Plataforma de Corte para Grãos","20","","","1","",""
"7","13","Plataforma de Corte para Milho - Série","013","Plataf Corte Milho Série","PLATAF_CORTE_MILHO_S","","C","","","1,00","14","Determina a Série da Plataforma de Corte para Milho","30","","","1","",""
"7","14","Situação da Plataforma de Corte para Milho","014","Sit Plataforma Corte Milho","SIT_PLAT_CORTE_MILHO","","M","","","1,00","15","Determina a Situação Geral da Plataforma de Corte para Milho","20","","","1","",""
"7","15","Sistema de Debulha - Cilindro","015","Sistema de Debulha - Cilindro","SISTEMA_DE_DEBULHA__","","M","","","1,00","16","Determina a Situação do Cilindro do Sistema de Debulha","20","","","1","",""
"7","16","Saca Palhas","016","Saca Palhas","SACA_PALHAS","","M","","","1,00","17","Determina as condições gerais do Saca Palhas","20","","","1","",""
"7","17","Peneiras","017","Peneiras","PENEIRAS","","M","","","1,00","18","Determina a condição geral das Peneiras","20","","","1","",""
"7","18","Correias e Redutores","018","Correias e Redutores","CORREIAS_E_REDUTORES","","M","","","1,00","19","Determina o estado de conservação das Correias e dos Redutores","20","","","1","",""
"7","19","Picador","019","Picador","PICADOR","","M","","","1,00","20","Determina as condições gerais do Picador","20","","","1","",""
"7","20","Distribuidor de Palha","020","Distribuidor de Palha","DISTRIBUIDOR_DE_PALH","","M","","","1,00","21","Determina as condições gerais do Distribuidor de Palhas","20","","","1","",""
"7","21","Graneleiro - Situação Geral","021","Graneleiro - Situação Geral","GRANELEIRO___SITUACA","","M","","","1,00","22","Determina as condições gerais do Graneleiro","20","","","1","",""
"7","22","Sem Fim do Graneleiro","022","Sem Fim do Graneleiro","SEM_FIM_DO_GRANELEIR","","M","","","1,00","23","Determina as condições gerais do Sem Fim do Graneleiro","20","","","1","",""
"7","23","Tubo de Descarga","023","Tubo de Descarga","TUBO_DE_DESCARGA","","M","","","1,00","24","Determina as condições gerais do Tudo de Descarga","20","","","1","",""
"7","24","Plataforma de Operação","024","Plataforma de Operação","PLATAFORMA_DE_OPERAC","","M","","","1,00","25","Determina o tipo da Plataforma de Operação","20","","","1","",""
"7","25","Notal Geral Atribuída","025","Notal Geral Atribuída","NOTAL_GERAL_ATRIBUID","","M","","","1,00","35","Determina uma Nota Geral atribuída ao Equipamento após a Avaliação.","20","","","1","",""
"7","26","Pneu Dianteiro Direito - Medida","026","Medida Pneu Dianteiro Direito","MED_PNEU_DIAN_DIREIT","","C","","","1,00","37","Medida Pneu Dianteiro Direito","6","","","1","",""
"7","27","Pneu Dianteiro Esquerdo - Medida","027","Medida Pneu Dianteiro Esquerdo","MED_PNEU_DIAN_ESQUER","","C","","","1,00","41","Medida Pneu Dianteiro Esquerdo","6","","","1","",""
"7","28","Pneu Traseiro Direito - Medida","028","Medida Pneu Traseiro Direito","MED_PNEU_TRAS_DIREIT","","C","","","1,00","45","Medida Pneu Traseiro Direito","6","","","1","",""
"7","29","Pneu Traseiro Esquerdo - Medida","029","Medida Pneu Traseiro Esquerdo","MED_PNEU_TRAS_ESQUER","","C","","","1,00","49","Medida Pneu Traseiro Esquerdo","6","","","1","",""
"94000000","1","Origem da Renda","001","Origem da Renda","ORIGEM_DA_RENDA","","S","","","1,00","","Origem da Renda","20",""," ","1"," ",""
"52","8","Valor Comissão CEN","008","Valor Comissão CEN","VALOR_COMISSAO_CEN","","V","","","1,00","","Valor Comissão CEN","8","","","1","","2"
"52","9","CEN","006","CEN","CEN_","","M","","","1,00","7","CEN","20","","","1","N",""
"52","10","Valor Comissão Especialista","010","Valor Comissão Especialista","VALOR_COMISSAO_ESP","","S","","","1,00","11","Valor Comissão Especialista","20","","","0","",""
"52","11","Valor Comissão CEN","011","Valor Comissão CEN","VALOR_COMISSAOCEN","","S","","","1,00","12","Valor Comissão CEN","20","","","0","",""
"52","12","% Comissão CEN","012","% Comissão CEN","_COMISSAO_CEN","","M","","","1,00","13","% Comissão CEN","20","","","0","N",""
"52","13","% Comissão Especialista","013","% Comissão Especialista","_COMISSAO_ESPEC","","M","","","1,00","","% Comissão CEN","20","","","0","N",""
"52","14","Comissao Paga","014","Comissao Paga","COMISSAO_PAGA","","L","","","1,00","15","Comissao Paga","3","","","1","",""
"53","3","Informe a sua satisfação com a solução aplicada","003","Informe sua satisfação","INFORME_SATISFACAO","","M","","","1,00","","Informe a sua satisfação com a solução aplicada","40","","","1","",""
"55","1","Satisfeito com Atendimento","002","Satisfeito com Atendimento","SATISFEITO_COM_ATEND","","L","","","1,00","2","Satisfeito com Atendimento","3","","","1","S",""
"55","2","Atendimento no Prazo","003","Atendimento no Prazo","ATENDIMENTO_NO_PRAZO","","L","","","1,00","","Atendimento no Prazo","3","","","1","",""
"55","3","Nota de Atendimento","004","Nota de Atendimento","NOTA_DE_ATENDIMENTO","","M","","","1,00","4","Nota de Atendimento","20","","","1","",""
"56","1","Ficou alguma dúvida sobre o equipamento?","001","FICOU ALGUMA DÚVIDA SOBRE O EQ","FICOU_ALGUMA_DUVIDA_","","L","","","1,00","2","Ficou alguma dúvida sobre o equipamento?","3","","","1","S",""
"56","2","O equipamento esta funcionando conforme esperado ?","002","O equipamento esta funcionando","O_EQUIPAMENTO_ESTA_F","","L","","","1,00","3","O equipamento esta funcionando conforme esperado ?","3","","","1","",""
"56","3","Tem algum Problema não resolvido?","003","Tem algum Problema não resolvi","TEM_ALGUM_PROBLEMA_N","","L","","","1,00","4","Tem algum Problema não resolvido?","3","","","1","",""
"56","4","O Sr sabe com quem pode falar em caso de problemas em cada","004","O Sr sabe com quem pode falar ","O_SR_SABE_COM_QUEM_P","","L","","","1,00","5","O Sr sabe com quem pode falar em caso de problemas em cada setor? Tem nossos telefones de contato?

Obs: Caso não tenha, informar os contatos ao cliente.","3","","","1","",""
"56","5","Algo foi prometido na venda e não foi cumprido ?","005","Algo foi prometido na venda e ","ALGO_FOI_PROMETIDO_N","","L","","","1,00","6","Algo foi prometido na venda e não foi cumprido ?","3","","","1","",""
"56","6","De 0 a 10 qual nota atribuiu para Colorado Máquinas?","006","De 0 a 10 qual nota atribuiu p","DE_0_A_10_QUAL_NOTA_","","N","","","1,00","7","De 0 a 10 qual nota atribuiu para Colorado Máquinas?","8","","","1","N","0"
"56","7","O que o Sr (a) espera da Colorado Máquinas?","007","O que o Sr (a) espera da Color","O_QUE_O_SR__A__ESPER","","C","","","1,00","8","O que o Sr (a) espera da Colorado Máquinas?","100","","","1","",""
"56","8","O que a Colorado Máquinas precisa fazer para ganhar o seu 10","008","O que a Colorado Máquinas prec","O_QUE_A_COLORADO_MAQ","","C","","","1,00","9","O que a Colorado Máquinas precisa fazer para ganhar o seu 10?","100","","","1","",""
"56","9","Como esta nosso atendimento de Peças?","009","Como esta nosso atendimento de","COMO_ESTA_NOSSO_ATEN","","C","","","1,00","10","Como esta nosso atendimento de Peças?","30","","","1","",""
"43","1","Tipo de Equipamento","002","Tipo de Equipamento","TIPO_EQUIP_MANITOU","","C","","","1,00","","Tipo do Equipamento","30","","","0","N",""
"43","2","Marca","003","Marca","MARCA_M","","C","","","1,00","","Marca","30","","","0","S",""
"43","3","Modelo do Equipamento","004","Modelo do Equipamento","MODELO_EQUIPM","","C","","","1,00","","Modelo do Equipamento","30","","","0","N",""
"43","4","Nro Pedido de Venda","005","Nro Pedido de Venda","N_PEDIDO_VDM","","N","","","1,00","6","Nro Pedido de Venda","8","","","1","S","0"
"43","5","Tipo de Torre","006","Tipo de Torre","TIPO_TORRE","","C","","","1,00","7","Tipo de Torre","60","","","1","N",""
"43","6","Tipo de Rodado","007","Tipo de Rodado","TIPO_RODADO","","C","","","1,00","8","Tipo de Rodado","60","","","1","",""
"43","7","Bitola","008","Bitola","BITOLA","","C","","","1,00","9","Bitola","60","","","1","N",""
"43","8","Acessórios","009","Acessórios","ACESSORIOS","","C","","","1,00","10","Acessórios","150","","","1","N",""
"43","9","Implementos","010","Implementos","IMPLEMENTOS","","C","","","1,00","11","Implementos","100","","","1","N",""
"43","10","Easy Manager - Computador de Bordo","011","Easy Manager","EASY_MANAGER","","C","","","1,00","12","Easy Manager - Computador de Bordo","100","","","1","N",""
"43","11","Outras Configurações","012","Outras Configurações","OUTRAS_CONFIG","","C","","","1,00","13","Outras Configurações","150","","","1","N",""
"43","12","Agrega/Desagrega","013","Agrega/Desagrega","AGREGA_DESAGREG","","C","","","1,00","14","Agrega e Desagrega","100","","","1","N",""
"43","13","Valor Total","014","Valor Total","VALOR_TOTA","","V","","","1,00","15","Valor Total do Equipamento","8","","","1","N","2"
"43","14","Valor do Sinal","015","Valor do Sinal","VALOR_SINAL","","V","","","1,00","16","Valor do Sinal","8","","","1","N","2"
"43","15","Data do Sinal","016","Data do Sinal","DATA_SINAL","","D","","","1,00","17","Data do Sinal","8","","","1","",""
"43","16","Valor Financiado","017","Valor Financiado","VALOR_FINANC","","V","","","1,00","18","Valor Financiado","8","","","1","","2"
"43","17","Tipo de Pagamento","018","Tipo de Pagamento","TIPO_PGTO","","C","","","1,00","19","Tipo de Pagamento","60","","","1","N",""
"43","18","Data do Pagamento","019","Data do Pagamento","DATA_PGTO","","D","","","1,00","20","Data do Pagamento","8","","","1","",""
"43","19","Data Atualizada","020","Data Atualizada","DATA_ATUALIZADA","","D","","","1,00","21","Data Atualizada","8","","","1","",""
"43","20","Codigo Finame","021","Codigo Finame","COD_FINAME","","N","","","1,00","22","Código Finame","8","","","1","N","0"
"43","21","Taxa Flat","022","Taxa Flat","TX_FLAT","","L","","","1,00","","Taxa Flat","3","","","1","",""
"43","22","Taxa Flat %","023","Taxa Flat %","TAXA_FLT_","","C","","","1,00","24","Taxa Flat %","3","","","1","",""
"43","23","Instituição Financeira","024","Instituição Financeira","INST_FINANC","","M","","","1,00","25","Instituição Financeira","20","","","1","N",""
"43","24","Número da Agência","025","Número da Agência","N_AGENCIA","","C","","","1,00","26","Número da Agência","30","","","1","",""
"43","25","Nome da Agência","026","Nome da Agência","NOME_AGENC","Nome da Agência","C","","","1,00","27","Nome da Agênca","50","","","1","",""
"43","26","Nome do Gerente da Agência","027","Nome do Gerente da Agência","NOME_GER_AGENC","","C","","","1,00","28","Nome do Gerente da Agência","50","","","1","",""
"43","27","Telefone da Agência","028","Telefone da Agência","TEL_AGENC","","N","","","1,00","29","Telefone da Agência","8","","","1","","0"
"43","28","E-mail de Contato na Agência","029","E-mail de contato na agência","CONTATO_AGENCIA","","C","","","1,00","30","E-mail de Contato na Agência","30","","","1","",""
"43","29","Informações Para Financeiro","030","Informações Para Financeiro","INF_FINANC","","C","","","1,00","31","Informações Para Financeiro","150","","","1","",""
"43","30","Chassi do Equipamento","031","Chassi do Equipamento","CHASSI_EQUIP","","C","","","1,00","32","Chassi do Equipamento","30","","","1","",""
"29","1","Cliente SAM","001","Cliente SAM","CLIENTE_SAM","","L","","","1,00","","Cliente SAM","3","","","1","N",""
"29","2","Tipo Equipamento","005","Tipo Equipamento","TIPO_EQUIPAMENTO","","X","","","1,00","","Tipo Equipamento","1","Q002_","","1","S",""
"29","3","Modelo do Equipamento","010","Modelo do Equipamento","MODELO_DO_EQUIPAMENT","","C","","","1,00","4","Modelo do Equipamento","30","","","1","S",""
"29","4","Nº Pedido","015","Nº Pedido","N__PEDIDO","","N","","","1,00","5","Nº Pedido","8","","","1","S","0"
"29","5","Valor da Venda","017","Valor da Venda","VALOR_DA_VENDA","","V","","","1,00","","Valor da Venda","8","","","1","S","2"
"29","6","Frete","020","Frete","FRETE","","V","","","1,00","7","Frete","8","","","1","","2"
"29","7","ICMS","025","ICMS","ICMS","","V","","","1,00","","ICMS","8","","","1","","2"
"29","8","PIS / COFINS","030","PIS / COFINS","PIS___COFINS","","V","","","1,00","9","PIS / COFINS","8","","","1","","2"
"29","9","Base de Cálculo","035","Base de Cálculo","BASE_DE_CALCULO","","V","","","1,00","","Base de Cálculo","8","","","1","N","2"
"29","10","% Comissão","040","% Comissão","__COMISSAO","","C","","","1,00","11","% Comissão","30","","","1","S",""
"29","11","Comissão Provisionada","045","Comissão Provisionada","COMISSAO_PROVISIONAD","","V","","","1,00","12","Comissão Provisionada","8","","","1","","2"
"29","12","Valor final Comissão","050","Valor final Comissão","VALOR_FINAL_COMISSAO","","V","","","1,00","","Valor final Comissão","8","","","1","","2"
"29","13","Chassi","055","Chassi","CHASSI","Chassi","C","","","1,00","14","Chassi","30","","","1","",""
"29","14","Nº NF Venda Direta","060","Nº NF Comissão Vend. Direta","N__NF_COMISSAO_VEND_","","N","","","1,00","15","Nº NF Venda Direta","8","","","1","","0"
"29","15","Data marcado entregue","065","Data marcado entregue","DATA_MARCADO_ENTREGU","","D","","","1,00","16","Informar data que foi marcado entregue","8","","","1","S",""
"29","16","Tipo de Cliente","001","Tipo de Cliente","TIPO_CLIENTE","","M","","","1,00","2","Tipo de Cliente","20","","","1","S",""
"30","1","Ficou satisfeito com o atendimento que lhe foi dado?","001","Ficou satisfeito com o atendim","SATISFEITO_ATEND","","L","","","1,00","10","Ficou satisfeito com o atendimento que lhe foi dado?","3","","","1","",""
"30","5","Qual motivo?","002","MOTIVO","MOTIVO","","M","","","1,00","10","Qual motivo?","20","","","1","",""
"30","10","Sr.Indicaria a Colorado Máquinas?","003","Que Nota Indicaria","INDICARIA","","M","","","1,00","","Você indicaria a Colorado Máquinas?","20","","","1","",""
"30","15","O que a Colorado Máquinas precisa fazer para ter nota 10?","004","O que a Colorado prec fazer","PRECISA_FAZER","","C","","","1,00","","O que a Colorado Máquinas precisa fazer para ter nota 10?","500","","","1","",""
"30","16","O Sr. indica um amigo para receber um contato da Colorado?","020","O Sr. indica um amigo","O_SR__INDICA_UM_AMIG","","C","","","1,00","25","O Sr. indica um amigo para receber um contato da Colorado Máquinas?","50","","","1","",""
"33","1","Ficou satisfeito com o atendimento que lhe foi dado?","001","Ficou satisfeito com o atendim","SATISFEITO_ATEND","","L","","","1,00","10","Ficou satisfeito com o atendimento que lhe foi dado?","3",""," ","1","",""
"33","5","Qual motivo?","002","MOTIVO","MOTIVO","","M","","","1,00","10","Qual motivo?","40",""," ","1","",""
"33","10","Você indicaria a Colorado Máquinas?","003","INDICARIA","INDICARIA","","M","","","1,00","","Você indicaria a Colorado Máquinas?","20",""," ","1","",""
"33","15","O que a Colorado Máquinas precisa fazer para ter nota 10?","004","O que a Colorado prec fazer","PRECISA_FAZER","","C","","","1,00","","O que a Colorado Máquinas precisa fazer para ter nota 10?","500",""," ","1","",""
"42","18","Valor Financiado","015","Valor Financiado","VALOR_FINANCIADO","","V","","","1,00","","Informar Valor Financiado","8","","","1","S","2"
"42","19","Telefone da Agência","019","Telefone da Agência","TELEFONE_DA_AGENCIA","","C","","","1,00","","Informe Telefone da Agência","30","","","1","S",""
"42","20","E-mail de contato da Agência","020","E-mail de contato da Agência","E_MAIL_DE_CONTATO_DA","","C","","","1,00","","Informar e-mail","30","","","1","S",""
"42","21","Informações para o Financeiro","021","Informações para o Financeiro","INFORMACOES_PARA_O_F","","C","","","1,00","","Informação para o Financeiro","300","","","1","S",""
"42","22","Previsão do Faturamento","025","Previsão do Faturamento","PREVISAO_DO_FATURAME","","D","","","1,00","","Previsão do Faturamento","8","","","1","",""
"42","23","Valor do Sinal","014","Valor do Sinal","VALOR_DO_SINAL","","V","","","1,00","24","Valor Sinal","8","","","1","S","2"
"42","24","Informar COMAR","024","Informar COMAR","INFORMAR_COMAR","","C","","","1,00","25","Informar o COMAR","90","","","1","",""
"42","25","Data Aprovação","025","Data Aprovação","DATA_APROVACAO","","D","","","1,00","26","Data Aprovação","8","","","1","",""
"42","26","Havera Bonificação","026","Havera Bonificação","HAVERA_BONIFICACAO","","L","","","1,00","27","Havera Bonificação","3","","","0","S",""
"42","27","Valor Bonificação","027","Valor Bonificação","VALOR_BONIFICACAO","","V","","","1,00","","Valor Bonificação","8","","","0","S","2"
"42","28","Codigo Finame","028","Codigo Finame","CODIGO_FINAME","","C","","","1,00","","Codigo Finame","30","","","0","",""
"42","29","Sera Desmembrado","029","Sera Desmembrado","SERA_DESMEMBRADO","","L","","","1,00","30","Sera Desmembrado","3","","","0","",""
"42","30","Desconto Incodicional","030","Desconto Incodicional","DESCONTO_INCODICIONA","","C","","","1,00","31","Desconto Incodicional","30","","","0","",""
"42","31","NR Nota Fiscal Desconto Incondicional","033","NR Nota Fiscal Desconto Incon","NR_NOTA_FISCAL_DESCO","","C","","","1,00","32","NR Nota Fiscal Desconto Incondicional","30","","","1","",""
"42","32","Numero OS agrega/desagrega","024","Numero OS agrega/desagrega","NUMERO_OS_AGREGA_DES","","N","","","1,00","33","Numero OS agrega/desagrega","8","","","1","","0"
"42","33","Chassi Desconto Incondicional","031","Chassi Desconto Incondicional","CHASSI_DESCONTO_INCO","","C","","","1,00","34","Chassi Desconto Incondicional","300","","","1","",""
"42","34","Faturamento Centro de Custo","034","Faturamento Centro de Custo","FAT_CENTRO_DE_CUSTO","","M","","","1,00","35","Faturamento Centro de Custo","20","","","1","",""
"42","35","NF Refaturamento","035","NF Refaturamento","NF_REFATURAMENTO_AMS","","C","","","1,00","36","Informar NF Refaturamento","30","","","1","",""
"42","36","Quantidade de Itens","035","Quantidade de Itens","QUANTIDADE_DE_ITENS","","M","","","1,00","37","Quantidade de Itens","5","","","1","",""
"42","37","Chassi do Item AMS 2","037","Chassi do Item AMS 2","CHASSI_DO_ITEM_AMS_2","","C","","","1,00","","Chassi do Item AMS 2","30","","","1","N",""
"42","38","Chassi do Item AMS 3","038","Chassi do Item AMS 3","CHASSI_DO_ITEM_AMS_3","","C","","","1,00","","Chassi do Item AMS 3","30","","","1","",""
"42","39","Chassi do Item AMS 4","039","Chassi do Item AMS 4","CHASSI_DO_ITEM_AMS_4","","C","","","1,00","","Chassi do Item AMS 4","30","","","1","",""
"42","40","Chassi do Item AMS 5","040","Chassi do Item AMS 5","CHASSI_DO_ITEM_AMS_5","","C","","","1,00","","Chassi do Item AMS 5","30","","","1","",""
"42","41","Chassi do Item AMS 6","041","Chassi do Item AMS 6","CHASSI_DO_ITEM_AMS_6","","C","","","1,00","","Chassi do Item AMS 6","30","","","1","",""
"42","42","Chassi do Item AMS 7","042","Chassi do Item AMS 7","CHASSI_DO_ITEM_AMS_7","","C","","","1,00","","Chassi do Item AMS 7","30","","","1","",""
"60","5","Valor da Avaliação","005","Valor da Avaliação","VALOR_IMP_USADO","","V","","","1,00","","Valor da Avaliação","8","","","1","S","2"
"60","6","Motor Hidráulico","006","Moto Hidráulico","MOTOR_IMP","","M","","","1,00","","Motor Hidráulico","20","","","1","S",""
"60","7","Bomba Hidráulica","007","Bomba Hidráulica","BOMBA_HIDRAULICA","","M","","","1,00","8","Bomba Hidráulica","20","","","1","S",""
"60","8","Engate","008","Engate","ENGATE","","L","","","1,00","9","Possui engate","3","","","1","S",""
"60","9","Barra de Tração","009","Barra de Tração","BARRA_DE_TRACAO","","L","","","1,00","","Possui barra de tração","3","","","1","S",""
"60","10","Apoio de engate","010","Apoio de engate","APOIO_DE_ENGATE","","L","","","1,00","","Tem apoio de engate","3","","","1","S",""
"60","11","Quantidade de Disco","011","Quantidade de Disco","QTD_DISCO","","N","","","1,00","","Quantidade de Disco","8","","","1","S","0"
"60","12","Estado dos discos","012","Estado dos discos","ESTADO_DOS_DISCOS","","M","","","1,00","","Estado dos discos","20","","","1","S",""
"60","13","Quantidade de Hastes","013","Quantidade de Hastes","QUANTIDADE_DE_HASTES","","N","","","1,00","","Quantidade de Hastes","8","","","1","S","0"
"60","14","Estado das Hastes","014","Estado das Hastes","ESTADO_HASTES","","M","","","1,00","","Estado das Hastes","20","","","1","S",""
"60","15","Calços de Profundidade","015","Calços de Profundidade","CALCOS_DE_PROFUNDIDA","","L","","","1,00","","Calços de Profundidade","3","","","1","S",""
"60","16","Mancais","016","Mancais","MANCAIS","","M","","","1,00","","Mancais","20","","","1","S",""
"60","17","Mangueiras","017","Mangueiras","MANGUEIRAS","","M","","","1,00","","Mangueiras","20","","","1","S",""
"60","18","Caracol","018","Caracol","CARACOL","","M","","","1,00","","Caracol","20","","","1","S",""
"60","19","Quantidade de Bicos","019","Quantidade de Bicos","QTD_BICOS","","N","","","1,00","","Quantidade de Bicos","8","","","1","S","0"
"60","20","Suporte para filtros","020","Suporte para filtros","SUPORTE_FILTROS","","L","","","1,00","","Suporte para filtros","3","","","1","S",""
"60","21","Reguladores","021","Reguladores","REGULADORES","","L","","","1,00","","Reguladores","3","","","1","S",""
"60","22","Turbina","022","Turbina","TURBINA","","L","","","1,00","","Turbina","3","","","1","S",""
"60","23","Cabos de Controle","023","Cabos de Controle","CABOS_CONTROLE","","M","","","1,00","","Cabos de Controle","20","","","1","S",""
"60","24","Barras","024","Barras","BARRAS","","M","","","1,00","","Barras","20","","","1","S",""
"60","25","Estado do Tanque","025","Estado do Tanque","ESTADO_TANQUE","","M","","","1,00","","Estado do Tanque","20","","","1","S",""
"60","26","Esteiras","026","Esteiras","ESTEIRAS","","M","","","1,00","","Esteiras","20","","","1","S",""
"60","27","Correias","027","Correias","CORREIAS","","L","","","1,00","","Correias","3","","","1","S",""
"60","28","Recolhedor","028","Recolhedor","RECOLHEDOR","","L","","","1,00","","Recolhedor","3","","","1","S",""
"60","29","Monitores","029","Monitores","MONITORES","","L","","","1,00","","Monitores","3","","","1","S",""
"60","30","Pintura","030","Pintura","PINTURA","","M","","","1,00","","Pintura","20","","","1","S",""
"60","31","Pneus Dianteiro","031","Pneus Dianteiro","PNEUS_DIANTEIRO","","L","","","1,00","32","Pneus Dianteiro","3","","","1","S",""
"60","32","Estado dos Pneus","032","Estado dos Pneus","ESTADO_DOS_PNEUS","","M","","","1,00","","Estado dos Pneus","20","","","1","S",""
"60","33","Pneus Traseiro","033","Pneus Traseiro","PNEUS_TRASEIRO","","L","","","1,00","","Pneus Traseiro","3","","","1","S",""
"1","1","Satisfação quanto ao prazo do serviço prestado","001","Satisf Prazo Serviço Prestado","SATISF_PRAZO_SERVICO","","X","","","1,00","4","Qual sua satisfação quanto ao prazo do serviço prestado em relação ao tempo combinado?","1","Q001_","N","1","",""
"1","4","Nota Qualidade Serviço Consultor Técnico","004","Qualidade Serviço Consul Técni","QUALIDADE_CONSULTOR","","X","","","1,00","6","Dê uma nota de 0 a 10 sobre a qualidade do serviço prestado pelo nosso consultor técnico:","1","Q004_","","1","",""
"1","6","Recomendaria o nosso departamento de serviços?","006","Recomendaria Depto Serviços","RECOMEND_DEPTO_SERVI","","L","","","1,00","","Recomendaria o nosso departamento de serviços?","3","","","1","",""
"2","1","Dê nota 0 a 10 referente a atenção e cortesia do vendedor","001","Dê uma nota 0 a 10 referente a","DE_UMA_NOTA_0_A_10_R","","X","","","1,00","2","Dê uma nota 0 a 10 referente a atenção e cortesia do vendedor que o atendeu:","1","Q001_","","1","",""
"2","2","Satisfação a respeito da prontidão no atendimento","002","Satisf Resp Prontidao Atend","SATISF_RESP_PRONT_PC","","X","","","50,00","3","Qual sua satisfação a respeito da prontidão no atendimento dentro da empresa?","1","Q002_","","1","",""
"2","3","Satisfação quanto a disponibilidade de peças na Colorado","003","Satisf Dispon Peças Colorado","SATISF_DISPON_PECAS","","X","","","0,00","5","Qual sua satisfação quanto a disponibilidade de peças na Colorado John Deere?","1","Q003_","","1","",""
"2","4","Opinião quanto ao custo X benefício em relação peças JD","004","Opinião custo X beneficio pcs","CUSTO_X_BENE_PECAS_J","","X","","","0,00","5","Qual a sua opinião quanto ao custo X benefício em relação as peças originais John Deere?","1","Q004_","","0","",""
"2","5","Recomendaria o departamento de peças da Colorado John Deere?","005","Recom depto peças Colorado JD","RECOM_DEPTO_PECAS_CO","","L","","","0,00","7","Recomendaria o departamento de peças da Colorado John Deere?","3","","","1","",""
"2","6","De maneira geral, qual sua satisfação com relação a Colorado","006","Satisf Rel Colorado JD Peças","SATISF_REL_COL_PECAS","","X","","","0,00","","De maneira geral, qual sua satisfação com relação a Colorado John Deere?","1","Q006_","","0","",""
"2","7","Se insatisfeito, sua insatisfação refere-se à:","007","Sua insatisfação se deve à","SUA_INSATISFAC_PECAS","","X","","","0,00","","Se insatisfeito, sua insatisfação refere-se à:","1","Q007_","","1","",""
"2","8","Final da Pesquisa - Agradecimento","008","Final da Pesquisa - Agradecime","FINAL_DA_PESQUISA___","","C","","","0,00","","A Colorado John Deere agradece sua atenção, obrigado por participar de nossa pesquisa. Tenha um bom dia / boa tarde.","30","","","0","",""
"2","9","Qual a peça que o cliente reclama de indisponibilidade?","009","Peça indisponível","PECA_INDISPONIVEL","","C","","","0,00","","Para as pesquisas onde o cliente estiver insatisfeito com indisponibilidade de peças, informar quais as peças com maior índice de problema.","100","","","0","N",""
"3","1","Nota 0 a 10 referente a atenção e cortesia do vendedor","001","Nota referente a cortesia vend","NOTA_CORTES_VENDEDOR","","X","","","1,00","2","Dê uma nota 0 a 10 referente a atenção e cortesia do vendedor que o atendeu:","1","Q001_","","1","",""
"3","2","Qual sua satisfação a respeito da prontidão no atendimento?","002","Satisf Prontid Atendimento Ven","SATISF_PRONT_ATEND_V","","X","","","1,00","3","Qual sua satisfação a respeito da prontidão no atendimento do vendedor?","1","Q002_","","1","",""
