"Familia","Metodo","Rota","Resumo","Descricao","Tags","OperationId","Parametros"
"cartao","POST","/api/cartao/conductor/criaconta","Cria a conta na Conductor. Será gerado evento com a Origem ""CONDUCTOR"" e os possíveis código de evento são: ""CONTA CRIADA"", ""CONTA NAO CRIADA""","","Cartao","Cartao_fConductorCriaConta","Authorization [header]"
"cartao","GET","/api/cartao/dadosfinanceiros","Retorna as informações financeiras da pessoa","","Cartao","Cartao_fDadosFinanceirosGet","Authorization [header]"
"cartao","POST","/api/cartao/dadosfinanceiros","Recebe as informações financeiras da pessoa","","Cartao","Cartao_fDadosFinanceirosPost","data [body]*; Authorization [header]"
"cartao","POST","/api/cartao/documentos","Recebe documentos","","Cartao","Cartao_fDocumentosPost","data [body]*; Authorization [header]"
"cartao","POST","/api/cartao/evento","Gera o evento recebido nas tabelas de importação do CRM.","","Cartao","Cartao_fEventoPost","data [body]*; Authorization [header]"
"cartao","GET","/api/cartao/formulario/comprovanteendereco","Retorna a lista dos comprovantes de endereço possíveis de serem usados","","Cartao","Cartao_ComprovanteEnderecoGet","Authorization [header]"
"cartao","GET","/api/cartao/formulario/comprovanterenda","Retorna a lista dos comprovantes de renda possíveis de serem usados","","Cartao","Cartao_ComprovanteRendaGet","Authorization [header]"
"cartao","GET","/api/cartao/paramlista","Retorna uma lista de parametros lista","","Cartao","Cartao_ParamListaGet","data.seq [query]; data.parametro [query]; data.nroEmpresa [query]; Authorization [header]"
"cartao","POST","/api/cartao/pessoa/foto","Recebe a foto da pessoa em base64","","Cartao","Cartao_fPessoaFotoPost","fotoBase64 [body]*; Authorization [header]"
"cartao","POST","/api/cartao/prerequisitos","Verifica os pré-requisitos para continuidade do processo de cartão. Será gerado um evento com a origem ""CARTAO"" e os possíveis código do evento são: ""PRE-REQUISITO NEGADO"", ""PRE-REQUISITO APROVADO""","","Cartao","Cartao_fPreRequisitos","Authorization [header]"
"cartao","GET","/api/cartao/promotor","Obtém o promotor vinculado ao codusuario recebido","","Cartao","Cartao_fPromotorGet","codusuario [query]*; Authorization [header]"
"cartao","GET","/api/cartao/promotores","Obtém a lista de promotores","","Cartao","Cartao_fPromotoresGet","psSearchText [query]*; Authorization [header]"
"cartao","GET","/api/cartao/promotores/{psSearchText}","Obtém a lista de promotores","","Cartao","Cartao_fPromotoresGet","psSearchText [path]*; Authorization [header]"
"cartao","GET","/api/cartao/questionario","Retorna os questionários respondidos.","","Cartao","Cartao_fQuestionariosGet","Authorization [header]"
"cartao","POST","/api/cartao/questionario","Recebe um formulário respondido para gravar as respostas no CRM. Na lista de Perguntas deve-se enviar o campo NOMECOLUNA. A lista de perguntas e respotas devem estar ordenadas. Ou seja, a resposta de índice 1 corresponde à pergunta do mesmo índice e assim por diante.","","Cartao","Cartao_fQuestionarioPost","data [body]*; Authorization [header]"
"cartao","GET","/api/cartao/termo/adesao","Retorna o termo de adesão do cliente logado.","","Cartao","Cartao_fTermoAdesaoGet","Authorization [header]"
"cartao","GET","/api/cartao/view/{nomeview}","Busca informação em uma view. A view deve possuir a coluna SEQPESSOA ou PROCESSO que será usado na condição WHERE utilizando os dados do token","","Cartao","Cartao_fViewGet","nomeview [path]*; Authorization [header]"
"certiface","POST","/api/certiface/facecaptcha/appkey","Método para retornar a API Key usando a conta padrão da Certiface configurada no CRM.","","Certiface","Certiface_AppKey","data [body]*; Authorization [header]"
"certiface","POST","/api/certiface/facecaptcha/captcha","Método para enviar os desafios cumpridos.","","Certiface","Certiface_Captcha","data [body]*; Authorization [header]"
"certiface","POST","/api/certiface/facecaptcha/challenge","Método para retornar os desafios da appkey recebida.","","Certiface","Certiface_Challenge","appkey [body]*; Authorization [header]"
"certiface","POST","/api/certiface/facecaptcha/credencial","Obtem a credencial padrão da certiface configurada no CRM","","Certiface","Certiface_Credencial","Authorization [header]"
"certiface","POST","/api/certiface/facecaptcha/result","Método para obter o resultado do desafio de uma appkey.","","Certiface","Certiface_Result","appkey [body]*; Authorization [header]"
"certiface","POST","/api/certiface/webhook","","","Certiface","Certiface_CertifaceWebhook","request [body]*; Authorization [header]"
"chat","POST","/api/chat/carteirizacao","Obtém o usuário do CRM para qual o chat deve ser encaminhado.","","Chat","Chat_CarteirizacaoGet","bodyRequest [body]*; Authorization [header]"
"chat","GET","/api/chat/departamento","Obtém os departamentos disponíveis na view de carteirização de chat","","Chat","Chat_DepartamentoGet","Authorization [header]"
"crm (nucleo)","GET","/api/crm/atributofixo/{Parametro}","Retorna uma lista de atributos fixo","","Crm","Crm_AtributoFixoGet","Parametro [path]*; Authorization [header]"
"crm (nucleo)","GET","/api/crm/autocep/cidade/{UF}","Obtem a lista de cidades normalizadas pelo AutoCep","","Crm","Crm_fAutoCepCidadesGet","UF [path]*; Authorization [header]"
"crm (nucleo)","GET","/api/crm/cidade/{UF}","Obtem a lista de cidade pertencentes à UF recebida","","Crm","Crm_fCidadesGet","UF [path]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/documento","Método para anexar documentos ao processo","","Crm","Crm_DocumentoPost","Authorization [header]"
"crm (nucleo)","GET","/api/crm/empresas","Retorna a lista de empresas ativas","","Crm","Crm_EmpresasGet","Authorization [header]"
"crm (nucleo)","POST","/api/crm/empresas/modulo/perm","Obtém a lista de empresas que o usuário possuí permissão no módulo informado.","","Crm","Crm_fEmpresasUserPermGet","data [body]*; Authorization [header]"
"crm (nucleo)","GET","/api/crm/formulario/schema/{psSeqFormulario}","Neste método toda a estrutura de um formulário será retornada, contendo o cabeçalho, as perguntas e as opções de respostas.","","Crm","Crm_FormularioSchemaGet","psSeqFormulario [path]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/login","Utilize este método para validar o login do CRM","","Crm","Crm_Login","data [body]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/optout/email","Recebe uma lista de Optout de e-mails","","Crm","Crm_fOptOutEmail","data [body]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/optout/fone","Recebe uma lista de Optout de telefones","","Crm","Crm_fOptOutFone","data [body]*; Authorization [header]"
"crm (nucleo)","GET","/api/crm/paramlista","Retorna uma lista de parametros lista","","Crm","Crm_ParamListaGet","data.seq [query]; data.parametro [query]; data.nroEmpresa [query]; Authorization [header]"
"crm (nucleo)","GET","/api/crm/paramlista/{nroempresa}/{parametro}","Busca um item na lista com base na empresa, no parâmetro e na query.","","Crm","Crm_ParamListaGet","nroempresa [path]*; parametro [path]*; q [query]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/pessoa/search","Busca uma pessoa utilizando os parâmetros informados. Será retornado a pessoa apenas se encontrar um único registro. É opcional a inclusão da carteirização de chat. Exemplo retorno: { ""success"": true, ""seqpessoa"": 123456, ""nome"": ""Fulano de Tal"", ""carteirizacaoChat"": ""joao.silva"" }","","Crm","Crm_fPessoaSearch","data [body]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/pessoa/searchlist","Busca pessoas conforme os parâmetros passados e retorna uma lista com SeqPessoas encontrados. Caso encontre mais de um cadastro, irá retornar cadastros em ordem de alterações mais recentes primeiro. É opcional a inclusão da carteirização de chat. Exemplo retorno: { ""success"": true, ""Pessoas"": [ { ""seqpessoa"": 999, ""nome"": ""Fulano de tal"", ""cpfcnpj"": ""12345678910"", ""nascimento"": ""13/12/1989"", ""carteirizacaoChat"": ""fulano.vendedor"" } { ""seqpessoa"": 998, ""nome"": ""Tal de Fulano"", ""cpfcnpj"": ""12345678910"", ""nascimento"": ""13/12/1989"", ""carteirizacaoChat"": ""fulano.supervisor"" } ] }","","Crm","Crm_fPessoaSearchList","data [body]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/pessoalink","Grava um link de uma pessoa","","Crm","Crm_fPessoaLinkPost","data [body]*; Authorization [header]"
"crm (nucleo)","GET","/api/crm/pessoalink/{origem}/{pessoalink}","Retorna um seqpessoa com base no link recebido","","Crm","Crm_fPessoaLinkGet","origem [path]*; pessoalink [path]*; Authorization [header]"
"crm (nucleo)","GET","/api/crm/processo/gera-numero","Gera um novo número de processo","","Crm","Crm_ProcessoNovoNroGet","Authorization [header]"
"crm (nucleo)","POST","/api/crm/processo/search","Retorna a lista de processos de acordo com os parâmetros de busca Caso seja informada uma ação, serão considerados apenas processos que tenham agenda em aberto daquela ação.","","Crm","Crm_fProcessoSearch","data [body]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/questionario","Recebe um formulário respondido para gravar as respostas no CRM. Na lista de Perguntas deve-se enviar o campo NOMECOLUNA. A lista de perguntas e respotas devem estar ordenadas. Ou seja, a resposta de índice 1 corresponde à pergunta do mesmo índice e assim por diante.","","Crm","Crm_fQuestionarioPost","data [body]*; Authorization [header]"
"crm (nucleo)","GET","/api/crm/textopadrao/{seq}","Obtem o texto padrão informado","","Crm","Crm_fTextoPadraoGet","seq [path]*; Authorization [header]"
"crm (nucleo)","POST","/api/crm/view/{nomeview}","Retorna os dados da view especificada na URL.","","Crm","Crm_fViewGet","nomeview [path]*; where [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/email","Recebe um email.","","Imp","Imp_EmailPost","email [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/evento","Método para gerar um evento no CRM","","Imp","Imp_EventoPost","poEvento [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/formapgto","Recebe uma forma de pagamento","","Imp","Imp_FormaPgtoPost","formaPgto [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/nfs","Recebe uma nota fiscal","","Imp","Imp_NfsPost","nfs [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/nfscmpl","Recebe um complemento de uma nota fiscal","","Imp","Imp_NfsCmplPost","nfsCmpl [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/nfsitem","Recebe um item de uma nota","","Imp","Imp_NfsItemPost","nfsItem [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/os","Recebe uma ordem de serviço","","Imp","Imp_OsPost","os [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/ositem","Recebe um item de ordem de serviço","","Imp","Imp_OsItemPost","osItem [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/ossolic","Recebe uma solicitação de ordem de serviço","","Imp","Imp_OsSolicPost","osSolic [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/pedido","Recebe um pedido","","Imp","Imp_PedidoPost","pedido [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/pedidoitem","Recebe um item de um pedido","","Imp","Imp_PedidoItemPost","pedidoItem [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/pessoa","Recebe os dados de uma pessoa","","Imp","Imp_PessoaPost","pessoa [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/pessoa/contato","Recebe um contato de uma pessoa","","Imp","Imp_PessoaContatoPost","contato [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/pessoa/fone","Método para inserir/alterar/excluir um telefone de uma pessoa.","","Imp","Imp_PessoaFonePost","poEnt [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/pessoa/propriedade","Recebe uma propriedade de pessoa","","Imp","Imp_PessoaPropriedadePost","propriedade [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/produto","Recebe um produto","","Imp","Imp_ProdutoPost","produto [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/titulo","Recebe um título de cobrança","","Imp","Imp_TituloPost","titulo [body]*; Authorization [header]"
"crm/imp (importacao ERP)","POST","/api/crm/imp/veiculo","Recebe um veículo","","Imp","Imp_VeiculoPost","veiculo [body]*; Authorization [header]"
"facebook","POST","/api/facebook/webhook/lead","Recebe um webhook do Facebook Leads Ads","","Facebook","Facebook_Post","data [body]*; Authorization [header]"
"followize","POST","/api/followize/lead/annotation","Recebe um webhook de anotação do Lead e gera o evento ""LEAD ANNOTATION"" para a origem ""FOLLOWIZE""","","Followize","Followize_fLeadAnnotation","data [body]*; Authorization [header]"
"followize","POST","/api/followize/lead/create","Recebe um webhook de criação do Lead e gera o evento ""LEAD CREATE"" para a origem ""FOLLOWIZE""","","Followize","Followize_fLeadCreate","data [body]*; Authorization [header]"
"followize","POST","/api/followize/lead/finalization","Recebe um webhook de finalização do Lead e gera os eventos ""LEAD FINALIZATION SALED"", ""LEAD FINALIZATION NOTSALED"" para a origem ""FOLLOWIZE""","","Followize","Followize_fLeadFinalization","data [body]*; Authorization [header]"
"followize","POST","/api/followize/lead/schedule","Recebe um webhook de agendamento do Lead e gera o evento ""LEAD SCHEDULE"" para a origem ""FOLLOWIZE""","","Followize","Followize_fLeadSchedule","data [body]*; Authorization [header]"
"infobip","POST","/api/infobip/IncomingMessage","Recebe mensagens encaminhadas pela Infobip via webhook","","Infobip","Infobip_fIncomingMessage","Authorization [header]"
"infobip","POST","/api/infobip/smsReceive","Webhook para receber mensagens de SMS encaminhada pela Infobip utilizando o método Foward. Maiores informações em: https://dev.infobip.com/receive-sms/forward-method","","Infobip","Infobip_fSmsReceive","bodyRequest [body]*; Authorization [header]"
"mercanet","GET","/api/mercanet/event","","","Mercanet","Mercanet_fOpen","codusuario [query]*; origem [query]*; pessoalink [query]*; evento [query]*; id [query]*; url [query]*; Authorization [header]"
"neurotech","GET","/api/neurotech/painel/{codOperacao}","","","Neurotech","Neurotech_Get","codOperacao [path]*; Authorization [header]"
"pabx","POST","/api/pabx/campanha/popup","Recebe dados de uma chamada e grava os controles/agenda no módulo de call center (Discador Power)","","Pabx","Pabx_CampanhaPopUp","data [body]*; Authorization [header]"
"pabx","GET","/api/pabx/carteirizacao/{telefone}/{DTMF}","Utilize este método para obter a carteirização do cliente.","","Pabx","Pabx_Get","telefone [path]*; DTMF [path]*; Authorization [header]"
"pabx","POST","/api/pabx/chamada/incomingcall","Webhook para receber os dados de uma chamada que foi entregue em um ramal.","","Pabx","Pabx_ChamadaIncomingCallPost","data [body]*; Authorization [header]"
"portal","GET","/api/portal/agenda","Obtém a lista de agendas","","Portal","Portal_fAgendasGet","concluidas [query]; dtaInicio [query]; dtaFim [query]; Authorization [header]"
"portal","GET","/api/portal/agenda/{seqAgenda}","Retorna uma agenda","","Portal","Portal_fAgendaGet","seqAgenda [path]*; Authorization [header]"
"portal","GET","/api/portal/ciencia","Método para retornar a lista de ciências","","Portal","Portal_fCienciasGet","Authorization [header]"
"portal","POST","/api/portal/ciencia","Dá ciente em uma ciencia","","Portal","Portal_fCienciaPost","data [body]*; Authorization [header]"
"portal","GET","/api/portal/docto/{seqdocto}","Disponibiliza um documento para download","","Portal","Portal_fDoctoDownload","seqdocto [path]*; Authorization [header]"
"portal","POST","/api/portal/files/upload","Método para upload de arquivos usando o form-data. Envie na key files um array de arquivos. Envie também a key processo com o número do processo para víniculo.","","Portal","Portal_fUploadFiles","Authorization [header]"
"portal","GET","/api/portal/historico","Traz a lista de históricos. Informe o pageNumber e o pageSize no header","","Portal","Portal_fHistoricosGet","processo [query]*; dna [query]*; Authorization [header]"
"portal","POST","/api/portal/historico","","","Portal","Portal_fHistoricoPost","data [body]*; Authorization [header]"
"portal","POST","/api/portal/password","Método para alterar a senha do usuário","","Portal","Portal_fPasswordAlter","data [body]*; Authorization [header]"
"portal","GET","/api/portal/processo/{processo}","Obtém os dados do processo informado","","Portal","Portal_fProcessoGet","processo [path]*; Authorization [header]"
"portal","GET","/api/portal/processo/{processo}/documento","Obtém a lista de documentos do processo","","Portal","Portal_fDoctosProcessooGet","processo [path]*; Authorization [header]"
"portal","GET","/api/portal/resultado/{acao}","Retorna a lista de resultados receptivos ou da ação informada","","Portal","Portal_fResultadosGet","acao [path]*; Authorization [header]"
"portal","POST","/api/portal/senharecupera","Método para recuperação de senha","","Portal","Portal_fSenhaRecuperaPost","data [body]*; Authorization [header]"
"portal","POST","/api/portal/signin","Método para realizar o login do usuário","","Portal","Portal_fLogin","data [body]*; Authorization [header]"
"portal","POST","/api/portal/signup","Realiza um novo cadastro","","Portal","Portal_fCadastro","data [body]*; Authorization [header]"
"rd","POST","/api/rd/lead/{nroempresa}/{formulario}/{propriedade}","Recebe um Lead do webhook da RD Station","","RDStation","RDStation_Post","nroempresa [path]*; formulario [path]*; propriedade [path]*; request [body]*; Authorization [header]"
"rd","POST","/api/rd/v2/lead/{nroempresa}/{formulario}/{propriedade}","","","RDStation","RDStation_Post","nroempresa [path]*; formulario [path]*; propriedade [path]*; request [body]*; Authorization [header]"
"vorticeadmin","POST","/api/vorticeadmin/status/send","End-Point para recebimento de informações sobre o monitoramento dos integradores da Vórtice.","","VorticeAdmin","VorticeAdmin_VtcAppStatusSend","poEnt [body]*; Authorization [header]"
"vtcsaas","POST","/api/vtcsaas/evento","Recebe um evento do SAAS e gera no CRM.","","VtcSaas","VtcSaas_Evento","voChat [body]*; Authorization [header]"
"vtcsaas","POST","/api/vtcsaas/pesquisa","Recebe uma pesquisa respondida pelo Fidelidade da Vórtice.","","VtcSaas","VtcSaas_PesquisaPost","data [body]*; Authorization [header]"
"vtcsaas","POST","/api/vtcsaas/pessoa/set","Recebe uma pessoa do SAAS e grava no CRM, nas tabelas de importação (IMP)","","VtcSaas","VtcSaas_PessoaSet","voPessoa [body]*; Authorization [header]"
"webhook","POST","/api/webhook/google/agenda/{cliente}/{calendarId}","End-Point para recebimento de estimulos do Google Agenda (Google to Vortice). *Usado somente pela Vortice.","","VorticeAdmin","VorticeAdmin_fGoogleAgendaWebhook","cliente [path]*; calendarId [path]*; Authorization [header]"
"webhook","POST","/api/webhook/google/vrct/agenda/{calendarId}/{dtaBase}","End-Point para recebimento de estimulos do Google Agenda (Vortice =&gt; Cliente). *Usado somente pelo cliente.","","Crm","Crm_fVrtcAgendaGoogle","calendarId [path]*; dtaBase [path]*; Authorization [header]"
"webhook","POST","/api/webhook/pessoa","","","Crm","Crm_fPessoaWebHook","data [body]*; Authorization [header]"
"wifire","POST","/api/wifire/webhook","Webhook para receber insights do Wifire.","","WiFire","WiFire_fInsightsWebHook","request [body]*; Authorization [header]"
